anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z1,A,MXH,BFS,A,LOS FAISANES,810,Z1AMXHBFSA,Z1AMXHBFSA
2026,Z1,A,MXH,BGA,A,LA GLORIA,810,Z1AMXHBGAA,Z1AMXHBGAA
2026,Z1,A,MXH,BGD,A,GIGANTES DEL DESIERTO,810,Z1AMXHBGDA,Z1AMXHBGDA
2026,Z1,A,MXH,BSP,A,SAN PATRICIO,810,Z1AMXHBSPA,Z1AMXHBSPA
2026,Z1,A,MXH,BSP,A,SAN PATRICO,810,Z1AMXHBSPA,Z1AMXHBSPA
2026,Z1,A,MXH,BVP,A,VILLAS DE LA PROGRESO,1350,Z1AMXHBVPA,Z1AMXHBVPA
2026,Z1,A,MXHA,AR,A,AMPLIACIÓN REFUGIO,810,Z1AMXHAARA,Z1AMXHAARA
2026,Z1,A,MXHA,ES,A,ESTRELLA,1080,Z1AMXHAESA,Z1AMXHAESA
2026,Z1,A,MXHA,FI,A,SANTA ISABEL,1080,Z1AMXHAFIA,Z1AMXHAFIA
2026,Z1,A,MXHA,GK,A,GABRIELA MISTRAL,810,Z1AMXHAGKA,Z1AMXHAGKA
2026,Z1,A,MXHA,HP,A,HUERTAS DE LA PROGRESO,810,Z1AMXHAHPA,Z1AMXHAHPA
2026,Z1,A,MXHA,JE,A,SAN JOSÉ,810,Z1AMXHAJEA,Z1AMXHAJEA
2026,Z1,A,MXHA,JG,A,FINCA LOS JAZMINES,1350,Z1AMXHAJGA,Z1AMXHAJGA
2026,Z1,A,MXHA,KE,A,SAN CLEMENTE,810,Z1AMXHAKEA,Z1AMXHAKEA
2026,Z1,A,MXHA,LR,A,SANTA LORENA,810,Z1AMXHALRA,Z1AMXHALRA
2026,Z1,A,MXHA,LU,A,LA LUNA,810,Z1AMXHALUA,Z1AMXHALUA
2026,Z1,A,MXHA,NI,A,POPULAR SANTO NIÑO,810,Z1AMXHANIA,Z1AMXHANIA
2026,Z1,A,MXHA,NP,A,PIONEROS DE LA PROGRESO,810,Z1AMXHANPA,Z1AMXHANPA
2026,Z1,A,MXHA,ON,A,MISIÓN VIEJO,810,Z1AMXHAONA,Z1AMXHAONA
2026,Z1,A,MXHA,PX,A,JARDINES DE LA PROGRESO,810,Z1AMXHAPXA,Z1AMXHAPXA
2026,Z1,A,MXHA,QB,A,BAHÍAS DEL COLOSO,810,Z1AMXHAQBA,Z1AMXHAQBA
2026,Z1,A,MXHA,QM,A,LOS MILAGROS,1080,Z1AMXHAQMA,Z1AMXHAQMA
2026,Z1,A,MXHA,QZ,A,EL COLOSO,810,Z1AMXHAQZA,Z1AMXHAQZA
2026,Z1,A,MXHA,RF,A,EL REFUGIO,810,Z1AMXHARFA,Z1AMXHARFA
2026,Z1,A,MXHA,RS,A,GRUPO RÍO COLORADO,1080,Z1AMXHARSA,Z1AMXHARSA
2026,Z1,A,MXHA,SJ,A,SAN JACINTO,810,Z1AMXHASJA,Z1AMXHASJA
2026,Z1,A,MXHA,SK,A,SAN CARLOS,1080,Z1AMXHASKA,Z1AMXHASKA
2026,Z1,A,MXHA,UA,A,VILLA DE ALARCÓN,1350,Z1AMXHAUAA,Z1AMXHAUAA
2026,Z1,A,MXHA,UI,A,LOS VIÑEDOS,1485,Z1AMXHAUIA,Z1AMXHAUIA
2026,Z1,A,MXHA,UX,A,VIÑAS DEL SOL,1485,Z1AMXHAUXA,Z1AMXHAUXA
2026,Z1,A,MXHA,WC,A,CENTINELA,810,Z1AMXHAWCA,Z1AMXHAWCA
2026,Z1,A,MXHA,XQ,A,2DA. ETAPA,810,Z1AMXHAXQA,Z1AMXHAXQA
2026,Z1,A,MXHA,YH,A,NUEVO SANTA LUCIA,810,Z1AMXHAYHA,Z1AMXHAYHA
2026,Z1,A,MXHA,YJ,A,EL PARAÍSO,810,Z1AMXHAYJA,Z1AMXHAYJA
2026,Z1,A,MXHA,YK,A,LAS REYNAS,810,Z1AMXHAYKA,Z1AMXHAYKA
2026,Z1,A,MXHA,YZ,A,EL SAUSE,810,Z1AMXHAYZA,Z1AMXHAYZA
2026,Z1,A,MXHA,ZB,A,SAN PABLO,810,Z1AMXHAZBA,Z1AMXHAZBA
2026,Z1,A,MXHB,DB,A,BIENESTAR,810,Z1AMXHBDBA,Z1AMXHBDBA
2026,Z1,B,MXH,BAM,A,SOL DEL AMANECER,810,Z1BMXHBAMA,Z1BMXHBAMA
2026,Z1,B,MXH,BCA,A,RESIDENCIAL LA CALMA,945,Z1BMXHBCAA,Z1BMXHBCAA
2026,Z1,B,MXH,BEC,A,EL COLONIAL,810,Z1BMXHBECA,Z1BMXHBECA
2026,Z1,B,MXH,BHV,A,HACIENDA VICTORIA,810,Z1BMXHBHVA,Z1BMXHBHVA
2026,Z1,B,MXH,BHV,B,CONJUNTO HABITACIONAL HACIENDA VICTORIA,810,Z1BMXHBHVB,Z1BMXHBHVB
2026,Z1,B,MXH,BJO,A,JARDINES DE ORIZABA,810,Z1BMXHBJOA,Z1BMXHBJOA
2026,Z1,B,MXH,BPB,A,PIEDRA DEL SOL,810,Z1BMXHBPBA,Z1BMXHBPBA
2026,Z1,B,MXH,BPT,A,PRIVADA TERRACOTA SEGUNDA SECCIÓN,2700,Z1BMXHBPTA,Z1BMXHBPTA
2026,Z1,B,MXH,BTC,A,PRIVADA TERRACOTA,2700,Z1BMXHBTCA,Z1BMXHBTCA
2026,Z1,B,MXH,BTT,A,TORREMOLINOS,810,Z1BMXHBTTA,Z1BMXHBTTA
2026,Z1,B,MXH,BVC,A,VILLAS COAHUILA,810,Z1BMXHBVCA,Z1BMXHBVCA
2026,Z1,B,MXHA,AD,A,LADRILLEROS SANTA ISABEL,1215,Z1BMXHAADA,Z1BMXHAADA
2026,Z1,B,MXHA,AO,A,MISIÓN DE SAN ANTONIO,1080,Z1BMXHAAOA,Z1BMXHAAOA
2026,Z1,B,MXHA,AS,A,ANASTASIO SIMENTAL,1890,Z1BMXHAASA,Z1BMXHAASA
2026,Z1,B,MXHA,AX,A,AZTECAS,1215,Z1BMXHAAXA,Z1BMXHAAXA
2026,Z1,B,MXHA,BC,A,BAJA CALIFORNIA,1620,Z1BMXHABCA,Z1BMXHABCA
2026,Z1,B,MXHA,CF,A,27 DE SEPTIEMBRE,2970,Z1BMXHACFA,Z1BMXHACFA
2026,Z1,B,MXHA,CP,A,EL PORVENIR,1080,Z1BMXHACPA,Z1BMXHACPA
2026,Z1,B,MXHA,DQ,A,MÁRTIRES DE LA DEMOCRACIA,810,Z1BMXHADQA,Z1BMXHADQA
2026,Z1,B,MXHA,EE,A,ELIGIO ESQUIVEL,675,Z1BMXHAEEA,Z1BMXHAEEA
2026,Z1,B,MXHA,EO,A,ORIZABA,1620,Z1BMXHAEOA,Z1BMXHAEOA
2026,Z1,B,MXHA,FF,A,FRONTERIZA,1080,Z1BMXHAFFA,Z1BMXHAFFA
2026,Z1,B,MXHA,FG,A,GASCA,1080,Z1BMXHAFGA,Z1BMXHAFGA
2026,Z1,B,MXHA,FJ,A,MISIÓN DE SAN FRANCISCO JAVIER,1620,Z1BMXHAFJA,Z1BMXHAFJA
2026,Z1,B,MXHA,FO,A,ORIZABA,1620,Z1BMXHAFOA,Z1BMXHAFOA
2026,Z1,B,MXHA,GW,A,GRANJAS EL REFUGIO,675,Z1BMXHAGWA,Z1BMXHAGWA
2026,Z1,B,MXHA,GY,A,LAS MARGARITAS,810,Z1BMXHAGYA,Z1BMXHAGYA
2026,Z1,B,MXHA,HO,A,HACIENDA DE ORIZABA,810,Z1BMXHAHOA,Z1BMXHAHOA
2026,Z1,B,MXHA,IF,A,RESIDENCIAL SAN FRANCISCO,2700,Z1BMXHAIFA,Z1BMXHAIFA
2026,Z1,B,MXHA,IG,A,CACHANILLA,1080,Z1BMXHAIGA,Z1BMXHAIGA
2026,Z1,B,MXHA,KC,A,EJIDATARIOS,1080,Z1BMXHAKCA,Z1BMXHAKCA
2026,Z1,B,MXHA,KK,A,VILLA DEL FRESNO,810,Z1BMXHAKKA,Z1BMXHAKKA
2026,Z1,B,MXHA,KS,A,CARLOS SALINAS,1215,Z1BMXHAKSA,Z1BMXHAKSA
2026,Z1,B,MXHA,KT,A,LAS PALMERAS,810,Z1BMXHAKTA,Z1BMXHAKTA
2026,Z1,B,MXHA,LN,A,LUCERNA,1215,Z1BMXHALNA,Z1BMXHALNA
2026,Z1,B,MXHA,LQ,A,LUIS DONALDO COLOSIO,1080,Z1BMXHALQA,Z1BMXHALQA
2026,Z1,B,MXHA,LS,A,LUCERNA SUR,1215,Z1BMXHALSA,Z1BMXHALSA
2026,Z1,B,MXHA,MB,A,MUNICIPIO LIBRE,1080,Z1BMXHAMBA,Z1BMXHAMBA
2026,Z1,B,MXHA,MH,A,RESIDENCIAL MEDITERRÁNEO,1890,Z1BMXHAMHA,Z1BMXHAMHA
