anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2026,Z1,A,MXH,BFS,A,LOS FAISANES,810.0,MXHBFSA,MXHBFSA
2026,Z1,A,MXH,BGA,A,LA GLORIA,810.0,MXHBGAA,MXHBGAA
2026,Z1,A,MXH,BGD,A,GIGANTES DEL DESIERTO,810.0,MXHBGDA,MXHBGDA
2026,Z1,A,MXH,BSP,A,SAN PATRICIO,810.0,MXHBSPA,MXHBSPA
2026,Z1,A,MXH,BSP,A,SAN PATRICO,810.0,MXHBSPA,MXHBSPA
2026,Z1,A,MXH,BVP,A,VILLAS DE LA PROGRESO,1350.0,MXHBVPA,MXHBVPA
2026,Z1,A,MXHA,AR,A,AMPLIACIÓN REFUGIO,810.0,MXHAARA,MXHAARA
2026,Z1,A,MXHA,ES,A,ESTRELLA,1080.0,MXHAESA,MXHAESA
2026,Z1,A,MXHA,FI,A,SANTA ISABEL,1080.0,MXHAFIA,MXHAFIA
2026,Z1,A,MXHA,GK,A,GABRIELA MISTRAL,810.0,MXHAGKA,MXHAGKA
2026,Z1,A,MXHA,HP,A,HUERTAS DE LA PROGRESO,810.0,MXHAHPA,MXHAHPA
2026,Z1,A,MXHA,JE,A,SAN JOSÉ,810.0,MXHAJEA,MXHAJEA
2026,Z1,A,MXHA,JG,A,FINCA LOS JAZMINES,1350.0,MXHAJGA,MXHAJGA
2026,Z1,A,MXHA,KE,A,SAN CLEMENTE,810.0,MXHAKEA,MXHAKEA
2026,Z1,A,MXHA,LR,A,SANTA LORENA,810.0,MXHALRA,MXHALRA
2026,Z1,A,MXHA,LU,A,LA LUNA,810.0,MXHALUA,MXHALUA
2026,Z1,A,MXHA,NI,A,POPULAR SANTO NIÑO,810.0,MXHANIA,MXHANIA
2026,Z1,A,MXHA,NP,A,PIONEROS DE LA PROGRESO,810.0,MXHANPA,MXHANPA
2026,Z1,A,MXHA,ON,A,MISIÓN VIEJO,810.0,MXHAONA,MXHAONA
2026,Z1,A,MXHA,PX,A,JARDINES DE LA PROGRESO,810.0,MXHAPXA,MXHAPXA
2026,Z1,A,MXHA,QB,A,BAHÍAS DEL COLOSO,810.0,MXHAQBA,MXHAQBA
2026,Z1,A,MXHA,QM,A,LOS MILAGROS,1080.0,MXHAQMA,MXHAQMA
2026,Z1,A,MXHA,QZ,A,EL COLOSO,810.0,MXHAQZA,MXHAQZA
2026,Z1,A,MXHA,RF,A,EL REFUGIO,810.0,MXHARFA,MXHARFA
2026,Z1,A,MXHA,RS,A,GRUPO RÍO COLORADO,1080.0,MXHARSA,MXHARSA
