anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2024,Z1,A,MXH,BFS,A,LOS FAISANES,600.0,Z1AMXHBFSA,Z1AMXHBFSA
2024,Z1,A,MXH,BGA,A,LA GLORIA,600.0,Z1AMXHBGAA,Z1AMXHBGAA
2024,Z1,A,MXH,BGD,A,GIGANTES DEL DESIERTO,600.0,Z1AMXHBGDA,Z1AMXHBGDA
2024,Z1,A,MXH,BSP,A,SAN PATRICIO,600.0,Z1AMXHBSPA,Z1AMXHBSPA
2024,Z1,A,MXH,BSP,A,SAN PATRICO,600.0,Z1AMXHBSPA,Z1AMXHBSPA
2024,Z1,A,MXH,BVP,A,VILLAS DE LA PROGRESO,1000.0,Z1AMXHBVPA,Z1AMXHBVPA
2024,Z1,A,MXHA,AR,A,AMPLIACIÓN REFUGIO,600.0,Z1AMXHAARA,Z1AMXHAARA
2024,Z1,A,MXHA,ES,A,ESTRELLA,800.0,Z1AMXHAESA,Z1AMXHAESA
2024,Z1,A,MXHA,FI,A,SANTA ISABEL,800.0,Z1AMXHAFIA,Z1AMXHAFIA
2024,Z1,A,MXHA,GK,A,GABRIELA MISTRAL,600.0,Z1AMXHAGKA,Z1AMXHAGKA
2024,Z1,A,MXHA,HP,A,HUERTAS DE LA PROGRESO,600.0,Z1AMXHAHPA,Z1AMXHAHPA
2024,Z1,A,MXHA,JE,A,SAN JOSÉ,600.0,Z1AMXHAJEA,Z1AMXHAJEA
2024,Z1,A,MXHA,JG,A,FINCA LOS JAZMINES,1000.0,Z1AMXHAJGA,Z1AMXHAJGA
2024,Z1,A,MXHA,KE,A,SAN CLEMENTE,600.0,Z1AMXHAKEA,Z1AMXHAKEA
2024,Z1,A,MXHA,LR,A,SANTA LORENA,600.0,Z1AMXHALRA,Z1AMXHALRA
2024,Z1,A,MXHA,LU,A,LA LUNA,600.0,Z1AMXHALUA,Z1AMXHALUA
2024,Z1,A,MXHA,NI,A,POPULAR SANTO NIÑO,600.0,Z1AMXHANIA,Z1AMXHANIA
2024,Z1,A,MXHA,NP,A,PIONEROS DE LA PROGRESO,600.0,Z1AMXHANPA,Z1AMXHANPA
2024,Z1,A,MXHA,ON,A,MISIÓN VIEJO,600.0,Z1AMXHAONA,Z1AMXHAONA
2024,Z1,A,MXHA,PX,A,JARDINES DE LA PROGRESO,600.0,Z1AMXHAPXA,Z1AMXHAPXA
2024,Z1,A,MXHA,QB,A,BAHÍAS DEL COLOSO,600.0,Z1AMXHAQBA,Z1AMXHAQBA
2024,Z1,A,MXHA,QM,A,LOS MILAGROS,800.0,Z1AMXHAQMA,Z1AMXHAQMA
2024,Z1,A,MXHA,QZ,A,EL COLOSO,600.0,Z1AMXHAQZA,Z1AMXHAQZA
2024,Z1,A,MXHA,RF,A,EL REFUGIO,600.0,Z1AMXHARFA,Z1AMXHARFA
2024,Z1,A,MXHA,RS,A,GRUPO RÍO COLORADO,800.0,Z1AMXHARSA,Z1AMXHARSA
2024,Z1,A,MXHA,SJ,A,SAN JACINTO,600.0,Z1AMXHASJA,Z1AMXHASJA
2024,Z1,A,MXHA,SK,A,SAN CARLOS,800.0,Z1AMXHASKA,Z1AMXHASKA
