anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2024,Z1,A,MXH,BFS,A,LOS FAISANES,600.0,MXHBFSA,MXHBFSA
2024,Z1,A,MXH,BGA,A,LA GLORIA,600.0,MXHBGAA,MXHBGAA
2024,Z1,A,MXH,BGD,A,GIGANTES DEL DESIERTO,600.0,MXHBGDA,MXHBGDA
2024,Z1,A,MXH,BSP,A,SAN PATRICIO,600.0,MXHBSPA,MXHBSPA
2024,Z1,A,MXH,BSP,A,SAN PATRICO,600.0,MXHBSPA,MXHBSPA
2024,Z1,A,MXH,BVP,A,VILLAS DE LA PROGRESO,1000.0,MXHBVPA,MXHBVPA
2024,Z1,A,MXHA,AR,A,AMPLIACIÓN REFUGIO,600.0,MXHAARA,MXHAARA
2024,Z1,A,MXHA,ES,A,ESTRELLA,800.0,MXHAESA,MXHAESA
2024,Z1,A,MXHA,FI,A,SANTA ISABEL,800.0,MXHAFIA,MXHAFIA
2024,Z1,A,MXHA,GK,A,GABRIELA MISTRAL,600.0,MXHAGKA,MXHAGKA
2024,Z1,A,MXHA,HP,A,HUERTAS DE LA PROGRESO,600.0,MXHAHPA,MXHAHPA
2024,Z1,A,MXHA,JE,A,SAN JOSÉ,600.0,MXHAJEA,MXHAJEA
2024,Z1,A,MXHA,JG,A,FINCA LOS JAZMINES,1000.0,MXHAJGA,MXHAJGA
2024,Z1,A,MXHA,KE,A,SAN CLEMENTE,600.0,MXHAKEA,MXHAKEA
2024,Z1,A,MXHA,LR,A,SANTA LORENA,600.0,MXHALRA,MXHALRA
2024,Z1,A,MXHA,LU,A,LA LUNA,600.0,MXHALUA,MXHALUA
2024,Z1,A,MXHA,NI,A,POPULAR SANTO NIÑO,600.0,MXHANIA,MXHANIA
2024,Z1,A,MXHA,NP,A,PIONEROS DE LA PROGRESO,600.0,MXHANPA,MXHANPA
2024,Z1,A,MXHA,ON,A,MISIÓN VIEJO,600.0,MXHAONA,MXHAONA
2024,Z1,A,MXHA,PX,A,JARDINES DE LA PROGRESO,600.0,MXHAPXA,MXHAPXA
2024,Z1,A,MXHA,QB,A,BAHÍAS DEL COLOSO,600.0,MXHAQBA,MXHAQBA
2024,Z1,A,MXHA,QM,A,LOS MILAGROS,800.0,MXHAQMA,MXHAQMA
2024,Z1,A,MXHA,QZ,A,EL COLOSO,600.0,MXHAQZA,MXHAQZA
2024,Z1,A,MXHA,RF,A,EL REFUGIO,600.0,MXHARFA,MXHARFA
2024,Z1,A,MXHA,RS,A,GRUPO RÍO COLORADO,800.0,MXHARSA,MXHARSA
2024,Z1,A,MXHA,SJ,A,SAN JACINTO,600.0,MXHASJA,MXHASJA
2024,Z1,A,MXHA,SK,A,SAN CARLOS,800.0,MXHASKA,MXHASKA
2024,Z1,A,MXHA,UA,A,VILLA DE ALARCÓN,1000.0,MXHAUAA,MXHAUAA
2024,Z1,A,MXHA,UI,A,LOS VIÑEDOS,1100.0,MXHAUIA,MXHAUIA
2024,Z1,A,MXHA,UX,A,VIÑAS DEL SOL,1100.0,MXHAUXA,MXHAUXA
2024,Z1,A,MXHA,WC,A,CENTINELA,600.0,MXHAWCA,MXHAWCA
2024,Z1,A,MXHA,XQ,A,2DA. ETAPA,600.0,MXHAXQA,MXHAXQA
2024,Z1,A,MXHA,YH,A,NUEVO SANTA LUCIA,600.0,MXHAYHA,MXHAYHA
2024,Z1,A,MXHA,YJ,A,EL PARAÍSO,600.0,MXHAYJA,MXHAYJA
2024,Z1,A,MXHA,YK,A,LAS REYNAS,600.0,MXHAYKA,MXHAYKA
2024,Z1,A,MXHA,YZ,A,EL SAUSE,600.0,MXHAYZA,MXHAYZA
2024,Z1,A,MXHA,ZB,A,SAN PABLO,600.0,MXHAZBA,MXHAZBA
2024,Z1,A,MXHB,DB,A,BIENESTAR,600.0,MXHBDBA,MXHBDBA
2024,Z1,B,MXH,BAM,A,SOL DEL AMANECER,600.0,MXHBAMA,MXHBAMA
2024,Z1,B,MXH,BCA,A,RESIDENCIAL LA CALMA,700.0,MXHBCAA,MXHBCAA
2024,Z1,B,MXH,BEC,A,EL COLONIAL,600.0,MXHBECA,MXHBECA
2024,Z1,B,MXH,BHV,A,HACIENDA VICTORIA,600.0,MXHBHVA,MXHBHVA
2024,Z1,B,MXH,BHV,B,CONJUNTO HABITACIONAL HACIENDA VICTORIA,600.0,MXHBHVB,MXHBHVB
2024,Z1,B,MXH,BJO,A,JARDINES DE ORIZABA,600.0,MXHBJOA,MXHBJOA
2024,Z1,B,MXH,BPB,A,PIEDRA DEL SOL,600.0,MXHBPBA,MXHBPBA
2024,Z1,B,MXH,BPT,A,PRIVADA TERRACOTA SEGUNDA SECCION,2000.0,MXHBPTA,MXHBPTA
2024,Z1,B,MXH,BTC,A,PRIVADA TERRACOTA,2000.0,MXHBTCA,MXHBTCA
2024,Z1,B,MXH,BTT,A,TORREMOLINOS,600.0,MXHBTTA,MXHBTTA
2024,Z1,B,MXH,BVC,A,VILLAS COAHUILA,600.0,MXHBVCA,MXHBVCA
2024,Z1,B,MXHA,AD,A,LADRILLEROS SANTA ISABEL,900.0,MXHAADA,MXHAADA
2024,Z1,B,MXHA,AO,A,MISIÓN DE SAN ANTONIO,800.0,MXHAAOA,MXHAAOA
2024,Z1,B,MXHA,AS,A,ANASTASIO SIMENTAL,1400.0,MXHAASA,MXHAASA
2024,Z1,B,MXHA,AX,A,AZTECAS,900.0,MXHAAXA,MXHAAXA
2024,Z1,B,MXHA,BC,A,BAJA CALIFORNIA,1200.0,MXHABCA,MXHABCA
2024,Z1,B,MXHA,CF,A,27 DE SEPTIEMBRE,2200.0,MXHACFA,MXHACFA
2024,Z1,B,MXHA,CP,A,EL PORVENIR,800.0,MXHACPA,MXHACPA
2024,Z1,B,MXHA,DQ,A,MÁRTIRES DE LA DEMOCRACIA,600.0,MXHADQA,MXHADQA
2024,Z1,B,MXHA,EE,A,ELIGIO ESQUIVEL,500.0,MXHAEEA,MXHAEEA
2024,Z1,B,MXHA,EO,A,ORIZABA,1200.0,MXHAEOA,MXHAEOA
2024,Z1,B,MXHA,FF,A,FRONTERIZA,800.0,MXHAFFA,MXHAFFA
2024,Z1,B,MXHA,FG,A,GASCA,800.0,MXHAFGA,MXHAFGA
2024,Z1,B,MXHA,FJ,A,MISIÓN DE SAN FRANCISCO JAVIER,1200.0,MXHAFJA,MXHAFJA
2024,Z1,B,MXHA,FO,A,ORIZABA,1200.0,MXHAFOA,MXHAFOA
2024,Z1,B,MXHA,GW,A,GRANJAS EL REFUGIO,500.0,MXHAGWA,MXHAGWA
2024,Z1,B,MXHA,GY,A,LAS MARGARITAS,600.0,MXHAGYA,MXHAGYA
2024,Z1,B,MXHA,HO,A,HACIENDA DE ORIZABA,600.0,MXHAHOA,MXHAHOA
2024,Z1,B,MXHA,IF,A,RESIDENCIAL SAN FRANCISCO,2000.0,MXHAIFA,MXHAIFA
2024,Z1,B,MXHA,IG,A,CACHANILLA,800.0,MXHAIGA,MXHAIGA
2024,Z1,B,MXHA,KC,A,EJIDATARIOS,800.0,MXHAKCA,MXHAKCA
2024,Z1,B,MXHA,KK,A,VILLA DEL FRESNO,600.0,MXHAKKA,MXHAKKA
2024,Z1,B,MXHA,KS,A,CARLOS SALINAS,900.0,MXHAKSA,MXHAKSA
2024,Z1,B,MXHA,KT,A,LAS PALMERAS,600.0,MXHAKTA,MXHAKTA
2024,Z1,B,MXHA,LN,A,LUCERNA,900.0,MXHALNA,MXHALNA
2024,Z1,B,MXHA,LQ,A,LUIS DONALDO COLOSIO,800.0,MXHALQA,MXHALQA
2024,Z1,B,MXHA,LS,A,LUCERNA SUR,900.0,MXHALSA,MXHALSA
2024,Z1,B,MXHA,MB,A,MUNICIPIO LIBRE,800.0,MXHAMBA,MXHAMBA
2024,Z1,B,MXHA,MH,A,RESIDENCIAL MEDITERRÁNEO,1400.0,MXHAMHA,MXHAMHA
2024,Z1,B,MXHA,MV,A,MISIÓN VIRREYES,1300.0,MXHAMVA,MXHAMVA
2024,Z1,B,MXHA,MW,A,INGENIERO MARTHA WELCH LOYA,1500.0,MXHAMWA,MXHAMWA
2024,Z1,B,MXHA,NL,A,NACIONALISTA 1/2,800.0,MXHANLA,MXHANLA
2024,Z1,B,MXHA,NL,B,NACIONALISTA 2/2,900.0,MXHANLB,MXHANLB
2024,Z1,B,MXHA,OG,A,OSCAR GARZÓN GARATE,900.0,MXHAOGA,MXHAOGA
2024,Z1,B,MXHA,OK,A,PALMAR DE ORIZABA,600.0,MXHAOKA,MXHAOKA
2024,Z1,B,MXHA,OQ,A,LAS MAGDALENAS,1200.0,MXHAOQA,MXHAOQA
2024,Z1,B,MXHA,OU,A,ORIZABA SUR,600.0,MXHAOUA,MXHAOUA
2024,Z1,B,MXHA,OZ,A,EJIDO ORIZABA,600.0,MXHAOZA,MXHAOZA
