anio,zona,sector,subsector,homoclave_col_fracc,seccion,descripcion_col_fracc,valor_m2,codigo_zona_homogenea,zona_homogenea
2024,Z1,1,1096,,,UNIVERSIDAD IBEROAMERICANA,1328.00,1096,1096
2024,Z1,1,1097,,,GASOLINERA Y CAÑÓN DEL MATADERO,831.00,1097,1097
2024,Z1,1,1098,,,INCOBUSA (LADERAS DE TIJUANA),555.00,1098,1098
2024,Z1,1,1099,,,LA JOYA (PREDIOS DEL MONUMENTO),424.00,1099,1099
2024,Z1,1,1100,,,SUBURBANO PLAYAS,424.00,1100,1100
2024,Z1,1,1101,,,JIBARITO II,2214.00,1101,1101
2024,Z1,1,1102,,,COLEGIO DE LA FRONTERA NORTE,1439.00,1102,1102
2024,Z1,1,1103,,,RESIDENCIAL HACIENDA DEL MAR,3432.00,1103,1103
2024,Z1,1,1104,,,VISTA AZUL,2723.00,1104,1104
2024,Z1,1,1105,,,OASIS,2499.00,1105,1105
2024,Z1,1,1106,,,REAL DEL MAR NO DESARROLLADO V,424.00,1106,1106
2024,Z1,1,1107,,,REAL DEL MAR NO DESARROLLADO IV,424.00,1107,1107
2024,Z1,1,1108,,,REAL DEL MAR NO DESARROLLADO III,4232.00,1108,1108
2024,Z1,1,1109,,,REAL DEL MAR NO DESARROLLADO VI,424.00,1109,1109
2024,Z1,1,1110,,,REAL DEL MAR NO DESARROLLADO II,424.00,1110,1110
2024,Z1,1,1111,,,REAL DEL MAR NO DESARROLLADO I,424.00,1111,1111
2024,Z1,1,1112,,,CAMPO DE GOLF REAL DEL MAR,723.00,1112,1112
2024,Z1,1,1113,,,REAL DEL MAR VII (DESARROLLADO),2633.00,1113,1113
2024,Z1,1,1114,,,REAL DEL MAR CLUB DE PLAYA (DESARROLLADO),4427.00,1114,1114
2024,Z1,1,1115,,,LA ISLA,3033.00,1115,1115
2024,Z1,1,1116,,,ENCANTO DEL MAR,2547.00,1116,1116
2024,Z1,1,1118,,,BRISAS DEL MAR,3637.00,1118,1118
2024,Z1,1,1119,,,RESIDENCIAL SAN MARINO,3652.00,1119,1119
2024,Z1,1,1120,,,CORONA DEL MAR,701.00,1120,1120
2024,Z1,1,1121,,,CORONA ENCANTADA,775.00,1121,1121
2024,Z1,1,1122,,,PUESTA DEL SOL,3062.00,1122,1122
2024,Z1,1,1123,,,LADERAS DEL MAR II,3062.00,1123,1123
2024,Z1,1,1124,,,URBIQUINTA DEL CEDRO,2295.00,1124,1124
2024,Z1,1,1125,,,SAN MARINO,3388.00,1125,1125
2024,Z1,1,1127,,,2A. SECC. URBIQUINTAS DEL CEDRO,2295.00,1127,1127
2024,Z1,1,1128,,,HACIENDA DEL MAR,3637.00,1128,1128
2024,Z1,1,1129,,,HACIENDA LOS ALCATRACES,3637.00,1129,1129
2024,Z1,1,1130,,,THE PARK AT MALIBU,3101.00,1130,1130
2024,Z1,1,1131,,,LA JOLLA SECCIÓN PERLA DEL PACÍFICO,2251.00,1131,1131
2024,Z1,1,1132,,,MAR DE BUENA VISTA,1035.00,1132,1132
2024,Z1,1,1133,,,LOMAS SANTA FE/VIÑAS DEL MAR,1886.00,1133,1133
2024,Z1,1,1134,,,TERRAZAS DEL SOL,937.00,1134,1134
2024,Z1,1,1135,,,ANTORCHA CAMPESINA,827.00,1135,1135
2024,Z1,1,1136,,,SUEÑOS DEL MAR,3090.00,1136,1136
2024,Z1,1,1137,,,REAL DE PLAYAS,1254.00,1137,1137
2024,Z2,2,2001,,,AGUAJE DE LA TUNA 1RA. SECCIÓN,1993.00,2001,2001
2024,Z2,2,2002,,,PANTEÓN JARDINES ETERNOS,600.00,2002,2002
