zona_homogenea,predios_sin_valor_2026
79,2129
6QC,653
80,603
44,597
901,555
CA,550
TB,437
6PL,417
6AA,315
1,310
CB,303
25,288
6IR,287
24,281
68,259
PB,259
FC,256
66,249
6CG,245
NA,244
99,241
26,240
10,235
23,235
8,226
29,224
6AY,224
61,215
71,210
57,206
36,205
OB,203
39,187
37,186
56,180
73,180
74,177
32,176
51,166
6LJ,164
14,162
67,161
83,159
6GX,157
27,155
84,155
AA,153
VB,151
EA,148
RA,147
38,143
78,142
6NE,141
PC,141
58,140
AB,140
31,137
35,134
40,130
103,127
HA,127
104,125
17,125
TA,121
48,120
94,114
4,110
64,110
6HD,110
15,106
GA,105
CD,104
CC,102
54,99
6FL,99
6HH,99
FB,99
102,96
16,96
4LO,95
30,94
MA,94
88,93
4KW,92
59,91
90,91
6LI,88
6,87
63,86
6QN,86
33,84
11,83
93,82
98,82
92,81
20,80
6JG,80
6IJ,79
18,77
13,76
89,75
6LD,74
6NN,74
BA,74
95,71
60,70
97,67
OA,67
9,64
6GC,63
72,62
6GV,61
3,60
34,60
65,60
6GZ,60
6LX,60
6OO,58
KA,57
50,55
75,55
QA,54
6LW,50
19,49
81,49
AC,49
KB,49
EB,47
6IH,46
JB,46
7,44
4CV,43
6OT,43
108,42
12,42
22,41
91,41
4MI,40
45,39
6GW,39
6FH,38
82,38
4BE,37
6HC,37
6HY,37
QB,37
6FJ,36
21,35
6CJ,34
IA,34
101,33
3CE,33
5,33
53,33
77,33
MB,33
6IN,32
76,32
4DC,31
4BP,30
6BM,30
6OB,30
HC,30
SA,30
52,29
6OR,29
HB,29
3CR,28
6JX,28
3BO,27
4KA,27
4LA,27
2,26
3AM,26
6OI,26
DB,26
SB,26
XA,26
4CD,25
4CK,25
6BN,25
3BZ,24
3GK,24
4BU,24
55,24
6EG,24
6IA,24
3BI,23
41,23
4AW,23
6HG,23
3BY,22
4AS,22
4JC,22
62,22
87,22
3BX,21
4EZ,21
4NA,21
6AG,21
6FZ,21
6GR,21
6OQ,21
4BJ,20
6DK,20
3AJ,19
3CU,19
3DA,19
3GW,19
3HA,19
4CO,19
4DA,19
4DX,19
4KO,19
5BG,19
6HV,19
106,18
3AS,18
3BQ,18
3GP,18
4AX,18
4BD,18
4GB,18
6OP,18
VA,18
100,17
105,17
3BR,17
3CB,17
4CM,17
4DY,17
5BH,17
5BQ,17
6II,17
6KD,17
JA,17
3AL,16
3BM,16
3BN,16
3HH,16
4CP,16
4ES,16
5AE,16
6BL,16
JC,16
3BC,15
3BG,15
3CA,15
3CD,15
3EC,15
3EG,15
3GE,15
4AJ,15
4AY,15
4BK,15
4CF,15
4CG,15
4DO,15
4KV,15
5AW,15
6HM,15
28,14
3CL,14
3CP,14
3CT,14
3CV,14
3DJ,14
3EF,14
3EI,14
3ET,14
3FA,14
3FS,14
4EW,14
4NF,14
5AF,14
3DK,13
4CL,13
4CN,13
4DG,13
4LM,13
4MV,13
5AM,13
5BP,13
5CL,13
6LG,13
3BE,12
3BW,12
3CF,12
3DH,12
3FJ,12
49,12
4CA,12
4CC,12
4EK,12
4EL,12
4FR,12
4FS,12
4LJ,12
4MQ,12
5AA,12
5AH,12
5AN,12
5AQ,12
5CF,12
5DP,12
69,12
6LQ,12
3AV,11
3BH,11
3DI,11
3DP,11
3FL,11
3GU,11
3HC,11
46,11
4AI,11
4BF,11
4BH,11
4BN,11
4BW,11
4DD,11
4DI,11
4DM,11
4DZ,11
4FO,11
4GO,11
4GQ,11
4HC,11
4HT,11
4JS,11
4JX,11
4KZ,11
4NL,11
4NS,11
5DI,11
6EF,11
6IL,11
3AR,10
3BD,10
3CK,10
3CW,10
3DB,10
3EU,10
3FG,10
3FP,10
3FT,10
3FW,10
3GN,10
47,10
4AH,10
4AK,10
4AZ,10
4BA,10
4BR,10
4CB,10
4CY,10
4DB,10
4DN,10
4FE,10
4FF,10
4HA,10
4HI,10
4IT,10
4IW,10
4IZ,10
4LD,10
4LK,10
4MF,10
4MJ,10
5AC,10
5CH,10
5DV,10
6GA,10
6KA,10
3AI,9
3AP,9
3AX,9
3BS,9
3BT,9
3CJ,9
3CX,9
3FC,9
3FE,9
3FX,9
3FY,9
3GZ,9
4AN,9
4BB,9
4BI,9
4BS,9
4BT,9
4CH,9
4CR,9
4DT,9
4EA,9
4FI,9
4FT,9
4FX,9
4JP,9
4KB,9
4KK,9
4ML,9
4MU,9
5AX,9
5BC,9
5CA,9
5CD,9
5CP,9
5CQ,9
5CR,9
5CU,9
5DB,9
6AF,9
6AT,9
6BT,9
6DJ,9
6LB,9
6LL,9
6QJ,9
70,9
FD,9
3AC,8
3AU,8
3BF,8
3BJ,8
3CM,8
3CO,8
3DL,8
3DO,8
3FM,8
3GG,8
3GR,8
3GY,8
4AB,8
4AF,8
4AL,8
4AM,8
4AO,8
4AT,8
4AV,8
4BV,8
4BX,8
4CS,8
4DK,8
4EB,8
4EX,8
4FJ,8
4GN,8
4HN,8
4HO,8
4IL,8
4IN,8
4KC,8
4KM,8
4LE,8
4LL,8
4LX,8
4ME,8
4MK,8
4MP,8
4MX,8
4NE,8
4NI,8
5AK,8
5AY,8
5CI,8
5CO,8
5CS,8
5DC,8
5DH,8
6AB,8
6BC,8
6IB,8
6IC,8
6IG,8
6JP,8
6JS,8
6LF,8
6OH,8
6OU,8
86,8
DA,8
3AO,7
3AQ,7
3AY,7
3BB,7
3BU,7
3BV,7
3CH,7
3CI,7
3CQ,7
3CZ,7
3DN,7
3ES,7
3EX,7
3EY,7
3FH,7
3FN,7
3FZ,7
3GL,7
3GM,7
3HE,7
4AA,7
4AD,7
4EH,7
4EJ,7
4EN,7
4EO,7
4GF,7
4GT,7
4GU,7
4HD,7
4HL,7
4HU,7
4IF,7
4JA,7
4JD,7
4JG,7
4JH,7
4JM,7
4KR,7
4KT,7
4LQ,7
4LR,7
4MM,7
4MY,7
4NB,7
4NH,7
5AD,7
5CE,7
5CN,7
5CX,7
5DT,7
6AU,7
6BB,7
6GM,7
6GY,7
6LR,7
6LV,7
6NO,7
6QI,7
85,7
FA,7
LA,7
3AE,6
3AW,6
3CC,6
3CY,6
3DM,6
3EA,6
3EO,6
3EQ,6
3ER,6
3FF,6
3FQ,6
3GB,6
3GC,6
3GH,6
3GI,6
3GQ,6
3GS,6
3GT,6
3GV,6
4AU,6
4BC,6
4BG,6
4BY,6
4CU,6
4EG,6
4EI,6
4EP,6
4FA,6
4FB,6
4FK,6
4GA,6
4GH,6
4GJ,6
4GK,6
4GM,6
4GW,6
4HK,6
4HM,6
4HR,6
4IA,6
4IE,6
4IJ,6
4IO,6
4IV,6
4JI,6
4KG,6
4KN,6
4KP,6
4KX,6
4KY,6
4LH,6
4MB,6
4MT,6
4MZ,6
4NC,6
4NJ,6
4NM,6
4NT,6
5AU,6
5AV,6
5BL,6
5CG,6
5CK,6
5DL,6
5DN,6
6AQ,6
6AS,6
6DA,6
6EC,6
6FI,6
6GB,6
6GL,6
6HU,6
6NG,6
6PF,6
6PI,6
3AA,5
3AK,5
3AN,5
3AT,5
3BA,5
3BL,5
3CN,5
3ED,5
3EE,5
3EN,5
3FI,5
3GD,5
3GJ,5
3HB,5
43,5
4BL,5
4CI,5
4CT,5
4CX,5
4ED,5
4EY,5
4FG,5
4GE,5
4GI,5
4GX,5
4HE,5
4HH,5
4HY,5
4IK,5
4JF,5
4JV,5
4JZ,5
4KD,5
4KL,5
4MD,5
4MN,5
4NK,5
5AG,5
5AO,5
5AT,5
5BF,5
5CB,5
5CW,5
5DM,5
5DU,5
6FE,5
6FG,5
6HA,5
6JY,5
6OS,5
6PO,5
6RA,5
3AB,4
3AD,4
3DS,4
3EP,4
3EV,4
3EW,4
3EZ,4
3FK,4
3FU,4
3FV,4
3GO,4
3HI,4
4AC,4
4DQ,4
4DV,4
4EC,4
4EM,4
4ER,4
4FC,4
4FW,4
4FY,4
4GC,4
4HX,4
4IM,4
