distrito,sector,sector_nombre,cos_rango,cos_min,cos_max,cus_rango,cus_min,cus_max,densidad_unifamiliar_codigo,densidad_unifamiliar_min,densidad_unifamiliar_max,densidad_multifamiliar_codigo,densidad_multifamiliar_min,densidad_multifamiliar_max,fuente,nota
A1,A,Santorales,0.60 - 0.70,0.6,0.7,2.10 - 3.00,2.1,3.0,dua,40,49,DMB,24,79,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B1,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,2.10 - 3.60,2.1,3.6,dum,30,39,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B2,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,2.10 - 3.60,2.1,3.6,dua,40,49,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B3,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,2.10 - 3.50,2.1,3.5,dum,30,39,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B4,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,1.20 - 3.60,1.2,3.6,dua,40,49,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B5,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,1.20 - 3.00,1.2,3.0,dum,30,39,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B6,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,2.10 - 3.60,2.1,3.6,dua,40,49,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
B7,B,Nacionalista-Orizaba,0.60 - 0.70,0.6,0.7,2.10 - 4.00,2.1,4.0,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C1,C,Central,0.75,0.75,0.75,2.25 - 4.50,2.25,4.5,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C2,C,Central,0.60,0.6,0.6,1.80 - 4.80,1.8,4.8,dub,8,29,DMM,80,149,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C3,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 4.80,2.1,4.8,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C4,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 7.00,2.1,7.0,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C5,C,Central,0.50,0.5,0.5,1.50 - 2.00,1.5,2.0,dub,8,29,DMB,24,79,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C6,C,Central,0.75,0.75,0.75,4.50,4.5,4.5,dub,8,29,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C7,C,Central,0.75,0.75,0.75,4.5,4.5,4.5,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C8,C,Central,0.75,0.75,0.75,2.25 - 6.00,2.25,6.0,dub,8,29,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C9,C,Central,0.50 - 0.65,0.5,0.65,1.95 - 4.00,1.95,4.0,dub,8,29,DMB,24,79,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C10,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 4.80,2.1,4.8,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C11,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 7.00,2.1,7.0,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C12,C,Central,0.60 - 0.75,0.6,0.75,2.10 - 7.50,2.1,7.5,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C13,C,Central,0.70,0.7,0.7,2.10 - 5.60,2.1,5.6,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C14,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 7.00,2.1,7.0,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C15,C,Central,0.60 - 0.75,0.6,0.75,2.25 - 7.00,2.25,7.0,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C16,C,Central,0.60 - 0.70,0.6,0.7,2.10 - 4.20,2.1,4.2,dua,40,49,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
C17,C,Central,0.50,0.5,0.5,1.50 - 2.50,1.5,2.5,dua,8,29,DMB,24,79,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",Revisar rango unifamiliar dua 8-29
C18,C,Central,0.70,0.7,0.7,2.10 - 4.2,2.1,4.2,dub,8,29,DMA,150,250,"PDUCP Mexicali 2040, Cuadro 258, IMIP 2025",
