uso_grupo,codigo_actividad,actividad,pagina_pdf
Habitacional,1.1.1,Residencial,23
Habitacional,1.1.1,Residencial,31
Habitacional,1.1.2,Medio,23
Habitacional,1.1.2,Medio,31
Habitacional,1.1.3,Popular,23
Habitacional,1.1.3,Popular,31
Habitacional,1.1.4,Interés social,23
Habitacional,1.1.4,Interés social,31
Habitacional,1.2.1,Vivienda horizontal residencial L,23
Habitacional,1.2.1,Vivienda horizontal residencial,31
Habitacional,1.2.2,Vivienda horizontal medio A N,23
Habitacional,1.2.2,Vivienda horizontal medio,31
Habitacional,1.2.3,Vivienda horizontal popular O IC,23
Habitacional,1.2.3,Vivienda horizontal popular,31
Habitacional,1.2.4,Vivienda horizontal de interés social A T,23
Habitacional,1.2.4,Vivienda horizontal de interés social,31
Habitacional,1.2.5,Vivienda vertical residencial IB A 1.2.6. Vivienda vertical medio H,23
Habitacional,1.2.5,Vivienda vertical residencial,31
Habitacional,1.2.6,Vivienda vertical medio,31
Habitacional,1.2.7,Vivienda vertical interés social .1,23
Habitacional,1.2.7,Vivienda vertical interés social 1 . 3 S U B U R B A NA 1. 3 .1 C am p e st re,31
Habitacional,1.3.1,Campestre,23
Habitacional,1.3.2,Granjas,23
Habitacional,1.3.2,Granjas,31
Habitacional,1.4.1,Fraccionamiento o campo de casas móviles o semifijas,23
Habitacional,1.4.1,Fraccionamiento o campo de casas móviles o semifijas,31
Habitacional,1.5.1,Vivienda para jornaleros agrícolas,23
Habitacional,1.5.1,Vivienda para jornaleros agrícolas,31
Industrial,2.1.1,Alimentaria,23
Industrial,2.1.1,Alimentaria,31
Industrial,2.1.10,Impresión e industrias conexas IR,23
Industrial,2.1.10,Impresión e industrias conexas,31
Industrial,2.1.11,Productos derivados del petróleo y el carbón T S 2.1.12. Química. Productos químicos U,23
Industrial,2.1.11,Productos derivados del petróleo y el carbón,31
Industrial,2.1.12,Química. Productos químicos básicos,31
Industrial,2.1.13,"Química. Resinas y hules sintéticos, y fibras químicas D N",23
Industrial,2.1.13,"Química. Resinas y hules sintéticos, y fibras químicas 2 . 1 . 1 4 . Q u í m i c a . F e rt ili z a n t e s , p es t ic id a s y otros 2 . 1 . 1 5 . Q u í m i c a . P ro d u c t o s fa rm a c é u tic o s",31
Industrial,2.1.14,"Química. Fertilizantes, pesticidas y otros I a g r o q u í m ico s .2 2 .1. 1 5 . Q u ím ic a. Productos farmacéuticos",23
Industrial,2.1.16,"Química. Pinturas, recubrimientos y adhesivos",23
Industrial,2.1.16,"Química. Pinturas, recubrimientos y adhesivos",31
Industrial,2.1.17,Química. Explosivos,23
Industrial,2.1.17,Química. Explosivos,31
Industrial,2.1.18,Química. Fabricación de cerillos y encendedores,23
Industrial,2.1.18,Química. Fabricación de cerillos y encendedores,31
Industrial,2.1.19,"Química. Jabones, limpiadores y preparaciones de tocador",23
Industrial,2.1.19,"Química. Jabones, limpiadores y preparaciones de tocador",31
Industrial,2.1.2,"Matanza de ganado, aves y otros animales",23
Industrial,2.1.2,"Matanza de ganado, aves y otros animales",31
Industrial,2.1.20,Otros productos químicos,23
Industrial,2.1.20,Otros productos químicos,31
Industrial,2.1.21,Fabricación de productos a base de arcillas y minerales refractarios,23
Industrial,2.1.21,Fabricación de productos a base de arcillas y minerales refractarios,31
Industrial,2.1.22,Fabricación de vidrio y productos de vidrio,23
Industrial,2.1.22,Fabricación de vidrio y productos de vidrio,31
Industrial,2.1.23,Fabricación de cemento y productos de concreto,31
Industrial,2.1.24,"Fabricación de cal, yeso y productos de yeso",31
Industrial,2.1.25,Fabricación de fibra de vidrio y asbesto,32
Industrial,2.1.26,Fabricación de otros productos a base de minerales no metálicos,32
Industrial,2.1.27,Industrias metálicas básicas,24
Industrial,2.1.27,Industrias metálicas básicas,32
Industrial,2.1.28,"Industrias de metales no ferrosos, excepto aluminio",24
Industrial,2.1.28,"Industrias de metales no ferrosos, excepto aluminio",32
Industrial,2.1.29,Fabricación de productos metálicos,24
Industrial,2.1.29,Fabricación de productos metálicos,32
Industrial,2.1.3,Bebidas y tabaco,23
Industrial,2.1.3,Bebidas y tabaco,31
Industrial,2.1.30,Fabricación de maquinaria y equipo,24
Industrial,2.1.30,Fabricación de maquinaria y equipo,32
Industrial,2.1.31,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos L A",24
Industrial,2.1.31,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes 2 . 1. 3 2 . F a b r ic a c ió n d e a c c e s o r io s , a p a r a to s eléctricos y e q u i p o d e g e n e ra c ió n d e e n er g ía e lé c t r ic a",32
Industrial,2.1.32,"Fabricación de accesorios, aparatos eléctricos y IR equipo de generación de energía eléctrica T",24
Industrial,2.1.33,Fabricación de acumuladores y pilas S U,24
Industrial,2.1.33,Fabricación de acumuladores y pilas,32
Industrial,2.1.34,"Fabricación de equipo de transporte D N 2.1.35.Empacado y procesamiento de carne de ganado, I a v e s y o tr o s a n i m a le s c o m e s ti b l es .2 2 .1 .3 6 .E la b o r a c i ó n d e m a n te c a y o tras grasas animales comestibles",24
Industrial,2.1.34,Fabricación de equipo de transporte,32
Industrial,2.1.35,"Empacado y procesamiento de carne de ganado, aves y otros animales comestibles",32
Industrial,2.1.36,Elaboración de manteca y otras grasas animales comestibles,32
Industrial,2.1.37,Empacado y procesamiento de productos agrícolas no animales,24
Industrial,2.1.37,Empacado y procesamiento de productos agrícolas no animales,32
Industrial,2.1.38,Fabricación de muebles,24
Industrial,2.1.38,Fabricación de muebles,32
Industrial,2.1.39,Otras industrias manufactureras,24
Industrial,2.1.39,Otras industrias manufactureras,32
Industrial,2.1.4,Elaboración de hielo y frigoríficos,23
Industrial,2.1.4,Elaboración de hielo y frigoríficos,31
Industrial,2.1.5,Preparación e hilado de fibras textiles y fabricación de productos textiles,23
Industrial,2.1.5,Preparación e hilado de fibras textiles y fabricación de productos textiles,31
Industrial,2.1.6,Fabricación de prendas de vestir,23
Industrial,2.1.6,Fabricación de prendas de vestir,31
Industrial,2.1.7,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",23
Industrial,2.1.7,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",31
Industrial,2.1.8,Madera,23
Industrial,2.1.8,Madera,31
Industrial,2.1.9,Papel L A,23
Industrial,2.1.9,Papel,31
Industrial,2.2.1,Extracción de minerales no metálicos (materiales pétreos),24
Industrial,2.2.1,Extracción de minerales no metálicos (materiales pétreos),32
Industrial,2.2.2,Extracción de minerales metálicos comercialización) y airtsudnI( 3 . 1 . 1 .A l i m e n t a r i a 3 . 1 . 2 . E l a b o r a c i ó n d e c e r v e za a rt e s a n a l 3 . 1 . 3 . F a b r ic a c i ó n y v e n t a d e m u e b l e s o productos de madera para el hogar (pequeña escala),24
