distrito,sector
A1,A - Santorales
B1,B - Nacionalista-Orizaba
B2,B - Nacionalista-Orizaba
B3,B - Nacionalista-Orizaba
B4,B - Nacionalista-Orizaba
B5,B - Nacionalista-Orizaba
B6,B - Nacionalista-Orizaba
B7,B - Nacionalista-Orizaba
C1,C - Central
C2,C - Central
C3,C - Central
C4,C - Central
C5,C - Central
C6,C - Central
C7,C - Central
C8,C - Central
C9,C - Central
C10,C - Central
C11,C - Central
C12,C - Central
C13,C - Central
C14,C - Central
C15,C - Central
C16,C - Central
C17,C - Central
C18,C - Central
C19,C - Central
C20,C - Central
C21,C - Central
C22,C - Central
C23,C - Central
C24,C - Central
C25,C - Central
C26,C - Central
D1,D - Independencia-Alamitos
D2,D - Independencia-Alamitos
D3,D - Independencia-Alamitos
D4,D - Independencia-Alamitos
E1,E - Cetys-Tecnologico
E2,E - Cetys-Tecnologico
E3,E - Cetys-Tecnologico
E4,E - Cetys-Tecnologico
E5,E - Cetys-Tecnologico
E6,E - Cetys-Tecnologico
E7,E - Cetys-Tecnologico
F1,F - Abasolo
F2,F - Abasolo
F3,F - Abasolo
F4,F - Abasolo
F5,F - Abasolo
G1,G - Progreso
G2,G - Progreso
G3,G - Progreso
G4,G - Progreso
G5,G - Progreso
H1,H - Portales
H2,H - Portales
H3,H - Portales
H4,H - Portales
I1,I - Anahuac-Villas del Rey
I2,I - Anahuac-Villas del Rey
I3,I - Anahuac-Villas del Rey
I4,I - Anahuac-Villas del Rey
I5,I - Anahuac-Villas del Rey
I6,I - Anahuac-Villas del Rey
I7,I - Anahuac-Villas del Rey
I8,I - Anahuac-Villas del Rey
J1,J - Lagunas
J2,J - Lagunas
J3,J - Lagunas
K1,K - Campestre
K2,K - Campestre
K3,K - Campestre
K4,K - Campestre
K5,K - Campestre
K6,K - Campestre
K7,K - Campestre
K8,K - Campestre
K9,K - Campestre
L1,L - Palaco
L2,L - Palaco
L3,L - Palaco
L4,L - Palaco
M1,M - Nuevo Mexicali
M2,M - Nuevo Mexicali
M3,M - Nuevo Mexicali
M4,M - Nuevo Mexicali
M5,M - Nuevo Mexicali
N1,N - Pueblas
N2,N - Pueblas
N3,N - Pueblas
O1,O - Condesa
O2,O - Condesa
O3,O - Condesa
O4,O - Condesa
P1,P - Reservas Integrales de Ocupacion Condicionada
P2,P - Reservas Integrales de Ocupacion Condicionada
P3,P - Reservas Integrales de Ocupacion Condicionada
