nivel,seccion,pagina_pdf,uso_grupo,codigo_actividad,actividad,distrito,sector,compatibilidad,compatibilidad_desc,confianza_color,fuente,nota
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,A1,A - Santorales,,,0,matriz de compatibilidad del PDUCPM.pdf,Extraido por clasificacion de simbolos de color; revisar celdas vacias o confianza baja.
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B1,B - Nacionalista-Orizaba,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B2,B - Nacionalista-Orizaba,C,Compatible,79,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B3,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B4,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B5,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B6,B - Nacionalista-Orizaba,C,Compatible,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,B7,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C1,C - Central,C,Compatible,96,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C2,C - Central,C,Compatible,109,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C3,C - Central,NP,No permitida,72,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C4,C - Central,COND,Condicionada,75,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C5,C - Central,C,Compatible,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C6,C - Central,NP,No permitida,81,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C7,C - Central,COND,Condicionada,73,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C8,C - Central,NP,No permitida,92,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C9,C - Central,NP,No permitida,83,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C10,C - Central,COND,Condicionada,87,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C11,C - Central,C,Compatible,145,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C12,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C13,C - Central,C,Compatible,147,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C14,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.1,Residencial,C15,C - Central,COND,Condicionada,93,matriz de compatibilidad del PDUCPM.pdf,
