distrito,sector,uso_grupo,compatibilidad_desc,conteo
A1,A - Santorales,Agricola,,7
A1,A - Santorales,Comercio y servicios,,94
A1,A - Santorales,Equipamiento,,69
A1,A - Santorales,Habitacional,,14
A1,A - Santorales,Industrial,,33
A1,A - Santorales,Infraestructura,,10
B1,B - Nacionalista-Orizaba,Agricola,Compatible,3
B1,B - Nacionalista-Orizaba,Agricola,No permitida,4
B1,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,67
B1,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,20
B1,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,7
B1,B - Nacionalista-Orizaba,Equipamiento,Compatible,50
B1,B - Nacionalista-Orizaba,Equipamiento,Condicionada,7
B1,B - Nacionalista-Orizaba,Equipamiento,No permitida,12
B1,B - Nacionalista-Orizaba,Habitacional,Compatible,8
B1,B - Nacionalista-Orizaba,Habitacional,Condicionada,2
B1,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B1,B - Nacionalista-Orizaba,Industrial,Compatible,12
B1,B - Nacionalista-Orizaba,Industrial,Condicionada,9
B1,B - Nacionalista-Orizaba,Industrial,No permitida,12
B1,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B1,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B1,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
B2,B - Nacionalista-Orizaba,Agricola,No permitida,7
B2,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,66
B2,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,16
B2,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,12
B2,B - Nacionalista-Orizaba,Equipamiento,Compatible,41
B2,B - Nacionalista-Orizaba,Equipamiento,Condicionada,2
B2,B - Nacionalista-Orizaba,Equipamiento,No permitida,26
B2,B - Nacionalista-Orizaba,Habitacional,Compatible,8
B2,B - Nacionalista-Orizaba,Habitacional,Condicionada,2
B2,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B2,B - Nacionalista-Orizaba,Industrial,Compatible,8
B2,B - Nacionalista-Orizaba,Industrial,Condicionada,9
B2,B - Nacionalista-Orizaba,Industrial,No permitida,16
B2,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B2,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B2,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
B3,B - Nacionalista-Orizaba,Agricola,No permitida,7
B3,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,66
B3,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,14
B3,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,14
B3,B - Nacionalista-Orizaba,Equipamiento,Compatible,41
B3,B - Nacionalista-Orizaba,Equipamiento,Condicionada,2
B3,B - Nacionalista-Orizaba,Equipamiento,No permitida,26
B3,B - Nacionalista-Orizaba,Habitacional,Compatible,10
B3,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B3,B - Nacionalista-Orizaba,Industrial,Compatible,8
B3,B - Nacionalista-Orizaba,Industrial,Condicionada,7
B3,B - Nacionalista-Orizaba,Industrial,No permitida,18
B3,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B3,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B3,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
B4,B - Nacionalista-Orizaba,Agricola,No permitida,7
B4,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,64
B4,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,20
B4,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,10
B4,B - Nacionalista-Orizaba,Equipamiento,Compatible,46
B4,B - Nacionalista-Orizaba,Equipamiento,Condicionada,8
B4,B - Nacionalista-Orizaba,Equipamiento,No permitida,15
B4,B - Nacionalista-Orizaba,Habitacional,Compatible,8
B4,B - Nacionalista-Orizaba,Habitacional,Condicionada,2
B4,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B4,B - Nacionalista-Orizaba,Industrial,Compatible,11
B4,B - Nacionalista-Orizaba,Industrial,Condicionada,6
B4,B - Nacionalista-Orizaba,Industrial,No permitida,16
B4,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B4,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B4,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
B5,B - Nacionalista-Orizaba,Agricola,No permitida,7
B5,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,66
B5,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,14
B5,B - Nacionalista-Orizaba,Comercio y servicios,No permitida,14
B5,B - Nacionalista-Orizaba,Equipamiento,Compatible,41
B5,B - Nacionalista-Orizaba,Equipamiento,Condicionada,6
B5,B - Nacionalista-Orizaba,Equipamiento,No permitida,22
B5,B - Nacionalista-Orizaba,Habitacional,Compatible,10
B5,B - Nacionalista-Orizaba,Habitacional,No permitida,4
B5,B - Nacionalista-Orizaba,Industrial,Compatible,8
B5,B - Nacionalista-Orizaba,Industrial,Condicionada,8
B5,B - Nacionalista-Orizaba,Industrial,No permitida,17
B5,B - Nacionalista-Orizaba,Infraestructura,Compatible,4
B5,B - Nacionalista-Orizaba,Infraestructura,Condicionada,3
B5,B - Nacionalista-Orizaba,Infraestructura,No permitida,3
B6,B - Nacionalista-Orizaba,Agricola,No permitida,7
B6,B - Nacionalista-Orizaba,Comercio y servicios,Compatible,63
B6,B - Nacionalista-Orizaba,Comercio y servicios,Condicionada,23
