|table_schema|table_name                   |ordinal_position|column_name          |data_type                  |
|------------|-----------------------------|----------------|---------------------|---------------------------|
|auditoria   |bitacora                     |1               |id                   |bigint                     |
|auditoria   |bitacora                     |2               |esquema              |character varying          |
|auditoria   |bitacora                     |3               |tabla                |character varying          |
|auditoria   |bitacora                     |4               |registro_id          |bigint                     |
|auditoria   |bitacora                     |5               |accion               |character varying          |
|auditoria   |bitacora                     |6               |datos_anteriores     |jsonb                      |
|auditoria   |bitacora                     |7               |datos_nuevos         |jsonb                      |
|auditoria   |bitacora                     |8               |usuario              |character varying          |
|auditoria   |bitacora                     |9               |fecha                |timestamp without time zone|
|auditoria   |cambios_geometricos_predios  |1               |id_cambio            |bigint                     |
|auditoria   |cambios_geometricos_predios  |2               |clave_catastral      |text                       |
|auditoria   |cambios_geometricos_predios  |3               |area_catastro        |numeric                    |
|auditoria   |cambios_geometricos_predios  |4               |area_geonode         |numeric                    |
|auditoria   |cambios_geometricos_predios  |5               |diferencia_area      |numeric                    |
|auditoria   |cambios_geometricos_predios  |6               |centroid_x_catastro  |numeric                    |
|auditoria   |cambios_geometricos_predios  |7               |centroid_y_catastro  |numeric                    |
|auditoria   |cambios_geometricos_predios  |8               |centroid_x_geonode   |numeric                    |
|auditoria   |cambios_geometricos_predios  |9               |centroid_y_geonode   |numeric                    |
|auditoria   |cambios_geometricos_predios  |10              |distancia_centroides |numeric                    |
|auditoria   |cambios_geometricos_predios  |11              |tipo_cambio          |text                       |
|auditoria   |cambios_geometricos_predios  |12              |fecha_deteccion      |timestamp without time zone|
|auditoria   |cambios_geometricos_predios  |13              |usuario_ejecucion    |text                       |
|auditoria   |cambios_geometricos_predios  |14              |observaciones        |text                       |
|auditoria   |cambios_geometricos_predios  |15              |prioridad            |text                       |
|auditoria   |cambios_geometricos_predios  |16              |porcentaje_cambio    |numeric                    |
|auditoria   |cambios_geometricos_predios  |17              |requiere_revision    |boolean                    |
|auditoria   |expedientes_historico        |1               |id_historico         |bigint                     |
|auditoria   |expedientes_historico        |2               |id_expediente        |bigint                     |
|auditoria   |expedientes_historico        |3               |clave_catastral      |text                       |
|auditoria   |expedientes_historico        |4               |estatus              |text                       |
|auditoria   |expedientes_historico        |5               |tiene_documentos     |boolean                    |
|auditoria   |expedientes_historico        |6               |tiene_cartografia    |boolean                    |
|auditoria   |expedientes_historico        |7               |tiene_construccion   |boolean                    |
|auditoria   |expedientes_historico        |8               |tiene_avaluo         |boolean                    |
|auditoria   |expedientes_historico        |9               |tiene_inspeccion     |boolean                    |
|auditoria   |expedientes_historico        |10              |tiene_rppc           |boolean                    |
|auditoria   |expedientes_historico        |11              |tiene_fotografia     |boolean                    |
|auditoria   |expedientes_historico        |12              |tiene_cedula         |boolean                    |
|auditoria   |expedientes_historico        |13              |tiene_historial      |boolean                    |
|auditoria   |expedientes_historico        |14              |observaciones        |text                       |
|auditoria   |expedientes_historico        |15              |accion               |text                       |
|auditoria   |expedientes_historico        |16              |usuario_modifico     |text                       |
|auditoria   |expedientes_historico        |17              |fecha_modificacion   |timestamp without time zone|
|auditoria   |movimientos_padron_auditoria |1               |id                   |bigint                     |
|auditoria   |movimientos_padron_auditoria |2               |movimiento_id        |bigint                     |
|auditoria   |movimientos_padron_auditoria |3               |clave_catastral      |character varying          |
|auditoria   |movimientos_padron_auditoria |4               |accion               |character varying          |
|auditoria   |movimientos_padron_auditoria |5               |estado_anterior      |character varying          |
|auditoria   |movimientos_padron_auditoria |6               |estado_nuevo         |character varying          |
|auditoria   |movimientos_padron_auditoria |7               |detalle              |text                       |
|auditoria   |movimientos_padron_auditoria |8               |datos                |jsonb                      |
|auditoria   |movimientos_padron_auditoria |9               |usuario              |character varying          |
|auditoria   |movimientos_padron_auditoria |10              |ip                   |character varying          |
|auditoria   |movimientos_padron_auditoria |11              |fecha                |timestamp without time zone|
|auditoria   |sync_geonode_predios         |1               |id_sync              |bigint                     |
|auditoria   |sync_geonode_predios         |2               |fecha_sync           |timestamp without time zone|
|auditoria   |sync_geonode_predios         |3               |insertados           |integer                    |
|auditoria   |sync_geonode_predios         |4               |faltantes            |integer                    |
|auditoria   |sync_geonode_predios         |5               |total_catastro       |integer                    |
|auditoria   |sync_geonode_predios         |6               |usuario_ejecucion    |text                       |
|auditoria   |sync_geonode_predios         |7               |observaciones        |text                       |
|auditoria   |v_cambios_geometricos_resumen|1               |clave_catastral      |text                       |
|auditoria   |v_cambios_geometricos_resumen|2               |tipo_cambio          |text                       |
|auditoria   |v_cambios_geometricos_resumen|3               |prioridad            |text                       |
|auditoria   |v_cambios_geometricos_resumen|4               |requiere_revision    |boolean                    |
|auditoria   |v_cambios_geometricos_resumen|5               |area_catastro        |numeric                    |
